##species_taxonomy_id	orthgroup_id	count
1442598 COG0115 2
1442598 COG1748 2
1442598 COG1368 2
1442598 COG2911 2
1442598 COG0147 2
1442598 COG1408 2
1442598 COG1403 2
1442598 COG0436 2
1442598 COG2932 2
1442598 COG0596 2
1442598 COG0511 2
1442598 COG1639 2
1442598 COG0458 2
1442598 COG1209 2
1442598 COG0598 2
1442598 COG1376 2
1442598 COG0727 2
1442598 COG0482 2
1442598 COG0465 2
1442598 COG4123 2
1442598 COG1045 2
1442598 COG1683 2
1442598 COG0652 2
1442598 COG0251 2
1442598 COG4314 2
1442598 COG0573 2
1442598 COG2608 2
1442598 COG2360 2
1442598 COG1484 2
1442598 COG0330 2
1442598 COG0719 2
1442598 COG3162 2
1442598 COG0563 2
1442598 COG2995 2
1442598 COG0818 2
1442598 COG0031 2
1442598 COG0585 2
1442598 COG0618 2
1442598 NOG300960 2
1442598 COG0713 2
1442598 COG1977 2
1442598 COG3040 2
1442598 COG0454 2
1442598 COG1942 2
1442598 COG2062 2
1442598 COG0626 2
1442598 COG1007 2
1442598 COG3123 2
1442598 COG0077 2
1442598 COG3672 2
1442598 COG2217 2
1442598 COG0635 2
1442598 COG0367 2
1442598 COG1117 2
1442598 COG1373 2
1442598 COG0475 2
1442598 COG2956 2
1442598 COG1714 2
1442598 COG0694 2
1442598 COG0439 2
1442598 COG1009 2
1442598 COG0328 2
1442598 COG2249 2
1442598 COG2265 2
1442598 COG1121 2
1442598 COG0437 2
1442598 COG0581 2
1442598 COG3258 2
1442598 COG0306 2
1442598 COG4628 2
1442598 COG0463 2
1442598 COG0358 2
1442598 COG0768 2
1442598 COG0471 2
1442598 COG1060 2
1442598 COG0842 2
1442598 COG2931 2
1442598 COG0839 2
1442598 COG1132 2
1442598 COG1055 2
1442598 COG1187 2
1442598 COG0037 2
1442598 COG0732 2
1442598 COG0542 2
1442598 COG2274 2
1442598 COG0483 2
1442598 COG1305 2
1442598 COG0501 2
1442598 COG0175 2
1442598 COG0807 2
1442598 COG0479 2
1442598 COG2972 2
1442598 COG0677 2
1442598 COG0133 2
1442598 COG0775 2
1442598 COG0711 2
1442598 COG2812 2
1442598 COG0057 2
1442598 COG0272 2
1442598 COG1749 2
1442598 COG0155 2
1442598 COG4775 2
1442598 COG3642 2
1442598 COG0457 2
1442598 COG3585 2
1442598 COG0372 2
1442598 COG1088 2
1442598 COG2105 2
1442598 COG4185 2
1442598 COG0673 2
1442598 NOG172879 2
1442598 COG0177 2
1442598 COG4206 2
1442598 COG0498 2
1442598 COG0640 2
1442598 COG5266 2
1442598 COG4773 2
1442598 COG0450 2
1442598 COG0124 2
1442598 COG0726 2
1442598 COG0008 2
1442598 COG1393 2
1442598 COG0476 2
1442598 COG2391 2
1442598 COG0612 2
1442598 COG0649 2
1442598 COG0683 2
1442598 COG0433 2
1442598 COG0226 2
1442598 COG3449 2
1442598 COG3971 2
1442598 COG0491 2
1442598 COG1143 2
1442598 COG1032 2
1442598 COG3278 2
1442598 COG0547 2
1442598 COG1328 2
1442598 COG2095 2
1442598 COG0835 2
1442598 COG1008 2
1442598 COG0028 2
1442598 COG2905 2
1442598 COG5309 2
1442598 COG2143 2
1442598 COG0739 2
1442598 COG1278 2
1442598 COG1696 2
1442598 COG0431 2
1442598 COG0455 2
1442598 COG0142 2
1442598 NOG42595 2
1442598 COG1145 2
1442598 COG0303 2
1442598 COG0248 2
1442598 COG0276 2
1442598 COG2897 2
1442598 COG1108 2
1442598 COG0795 2
1442598 COG1894 1
1442598 COG0239 1
1442598 NOG300000 1
1442598 COG2890 1
1442598 COG4277 1
1442598 COG1086 1
1442598 COG4992 1
1442598 COG3150 1
1442598 COG0208 1
1442598 COG0469 1
1442598 COG3391 1
1442598 COG1677 1
1442598 COG0782 1
